Currency,Date,Time,Open,High,Low,Close,Volume
ZEC,2016-10-31,22:00:00,2.9999995,3.4,2.96500002,3.08,302.86411517
ZEC,2016-10-31,22:15:00,3.08,3.16,2.8,3.09,242.44023481
ZEC,2016-10-31,22:30:00,3.09,3.09,2.65,2.79899999,199.13202805999998
ZEC,2016-10-31,22:45:00,2.78000002,2.799,2.37,2.5751,181.29753037
ZEC,2016-10-31,23:00:00,2.5751,2.59999993,2.06584772,2.35488349,198.54163824
ZEC,2016-10-31,23:15:00,2.30258902,2.59179999,2.2111,2.34000002,128.30314421
ZEC,2016-10-31,23:30:00,2.34000001,2.36999997,2.1425884,2.22006,68.74971878
ZEC,2016-10-31,23:45:00,2.19999999,2.5,2.171,2.29999999,109.15687867
ZEC,2016-11-01,00:00:00,2.29999999,2.32,2.16117,2.21310006,43.367584889999996
ZEC,2016-11-01,00:15:00,2.21310006,2.2382638,2.1425884,2.18800003,55.94881659000001
ZEC,2016-11-01,00:30:00,2.17000002,2.3001,2.1500002,2.2,22.1866416
ZEC,2016-11-01,00:45:00,2.2,2.2,1.785,1.80720814,84.53939287
ZEC,2016-11-01,01:00:00,1.80720815,1.92275846,1.685,1.85,39.9103695
ZEC,2016-11-01,01:15:00,1.86000002,2.0,1.77000001,1.89999996,38.67355809
ZEC,2016-11-01,01:30:00,1.87000003,2.25,1.87,1.92,56.730811759999995
ZEC,2016-11-01,01:45:00,1.92000001,1.98999999,1.74,1.86000001,43.199198960000004
ZEC,2016-11-01,02:00:00,1.86652775,1.9322,1.81020001,1.86,35.7135643
ZEC,2016-11-01,02:15:00,1.86,1.9,1.741,1.780001,40.432965519999996
ZEC,2016-11-01,02:30:00,1.78000099,1.780001,1.59798518,1.668,38.33414072
ZEC,2016-11-01,02:45:00,1.668,1.78,1.66,1.71,20.40937722
ZEC,2016-11-01,03:00:00,1.69001,1.8,1.601,1.70000004,29.88770812
ZEC,2016-11-01,03:15:00,1.70000002,1.79,1.7,1.73610001,11.02404481
ZEC,2016-11-01,03:30:00,1.74,1.92375837,1.736,1.86999999,40.34125939
ZEC,2016-11-01,03:45:00,1.87999999,2.37,1.85,2.31077701,111.45362999
ZEC,2016-11-01,04:00:00,2.31077701,2.35,2.15,2.329,86.82207325
ZEC,2016-11-01,04:15:00,2.34,2.53999999,2.3100003,2.37,111.68618874
ZEC,2016-11-01,04:30:00,2.36450378,2.37,2.11,2.23301004,49.64757129
ZEC,2016-11-01,04:45:00,2.23301004,2.23301004,2.02,2.14,42.288639069999995
ZEC,2016-11-01,05:00:00,2.14,2.19990365,2.14,2.155,23.929617490000002
ZEC,2016-11-01,05:15:00,2.15502,2.17000004,2.01000001,2.15,27.31818012
ZEC,2016-11-01,05:30:00,2.15000001,2.167,2.01,2.13000001,35.934900060000004
ZEC,2016-11-01,05:45:00,2.13,2.3899,2.13,2.20200103,46.76591688
ZEC,2016-11-01,06:00:00,2.3,2.31,2.1500001,2.16510001,25.05790641
ZEC,2016-11-01,06:15:00,2.16510002,2.2,2.13000101,2.15300001,19.709469130000002
ZEC,2016-11-01,06:30:00,2.15999999,2.3899999,2.15300001,2.3899999,41.502402430000004
ZEC,2016-11-01,06:45:00,2.37,2.4954,2.22134423,2.24000001,46.4513669
ZEC,2016-11-01,07:00:00,2.24,2.399777,2.24,2.29800004,55.856331219999994
ZEC,2016-11-01,07:15:00,2.29800004,2.31,2.16,2.18999999,27.957664010000002
ZEC,2016-11-01,07:30:00,2.18999999,2.21,1.91130065,1.969,59.572276810000005
ZEC,2016-11-01,07:45:00,1.94,2.04237129,1.83,2.01100001,48.877220089999994
ZEC,2016-11-01,08:00:00,2.01999995,2.15,1.95,1.98000027,31.591618009999998
ZEC,2016-11-01,08:15:00,1.98000512,2.34,1.9800003,2.33223216,123.51767665999999
ZEC,2016-11-01,08:30:00,2.33223217,2.44000001,2.26,2.29000001,140.66310554000003
ZEC,2016-11-01,08:45:00,2.29000001,2.44179333,2.29,2.4,50.37392464
ZEC,2016-11-01,09:00:00,2.39000019,2.6,2.39000019,2.588,151.53089129
ZEC,2016-11-01,09:15:00,2.57,2.6,2.44600003,2.54,83.35166741
ZEC,2016-11-01,09:30:00,2.55,2.66417999,2.53000001,2.63753818,57.20846847
ZEC,2016-11-01,09:45:00,2.59999998,2.63699999,2.34,2.523,122.22419250000002
ZEC,2016-11-01,10:00:00,2.523,2.523,2.3389214,2.339889,93.79463623
ZEC,2016-11-01,10:15:00,2.3389214,2.61981327,2.330005,2.58,113.05473735
ZEC,2016-11-01,10:30:00,2.58,2.79,2.52355247,2.78000002,115.40310804
ZEC,2016-11-01,10:45:00,2.78000002,2.82,2.53,2.775,121.86140765
ZEC,2016-11-01,11:00:00,2.775,2.79999998,2.534,2.63,67.9422692
ZEC,2016-11-01,11:15:00,2.61476,2.75700001,2.55000325,2.6111,61.57173248
ZEC,2016-11-01,11:30:00,2.611006,2.710141,2.6,2.61151,38.82448273999999
ZEC,2016-11-01,11:45:00,2.61151,2.649995,2.586,2.6,69.84772691
ZEC,2016-11-01,12:00:00,2.586,2.6,2.37141666,2.46000489,80.58959429000001
ZEC,2016-11-01,12:15:00,2.452,2.59,2.452,2.57,44.321125769999995
ZEC,2016-11-01,12:30:00,2.5600112,2.72000425,2.555,2.72000424,58.42643714
ZEC,2016-11-01,12:45:00,2.72000425,2.72000425,2.61246001,2.61500009,46.20047656
ZEC,2016-11-01,13:00:00,2.615,2.65001,2.52,2.65001,54.93475051
ZEC,2016-11-01,13:15:00,2.65005008,2.71246001,2.59795302,2.64998999,53.5642118
ZEC,2016-11-01,13:30:00,2.64998499,2.65,2.5609,2.578,35.558225189999995
ZEC,2016-11-01,13:45:00,2.58,2.59999998,2.5609,2.59113104,24.191100040000002
ZEC,2016-11-01,14:00:00,2.591,2.59399999,2.56091,2.561,29.07701349
ZEC,2016-11-01,14:15:00,2.56100001,2.57999999,2.15,2.20000503,187.11076495999998
ZEC,2016-11-01,14:30:00,2.21999998,2.50701483,2.21999998,2.30000004,153.83399423
ZEC,2016-11-01,14:45:00,2.30000004,2.32749499,2.15806042,2.24700501,80.91738998
ZEC,2016-11-01,15:00:00,2.26853999,2.40000019,2.247005,2.29000002,58.97639612
ZEC,2016-11-01,15:15:00,2.29013084,2.37868797,2.29013084,2.31,51.51542854
ZEC,2016-11-01,15:30:00,2.31474277,2.32000001,2.2,2.285033,77.95679276999999
ZEC,2016-11-01,15:45:00,2.28327457,2.3,2.24000001,2.24039501,31.36297995
ZEC,2016-11-01,16:00:00,2.24040001,2.29999,2.07,2.10000002,54.91075789
