,Epsilon,Operations,Rewards,Buy and hold,Drawdowns,Mean Rewards,Mean Buy and Holds,Mean Drawdowns
0,0.999519,386,0.330858,-26.99855487,0.243882102,0.330858,-26.99855487,0.243882102
1,0.999038,372,11.916007,-31.00860932,0.247096199,6.1234325,-29.0035821,0.24548915
2,0.9986,346,-47.724334,86.56717775,0.506797481,-11.825823,9.520004519,0.332591927
3,0.998119,371,-34.260077,14.33411429,0.39256951,-17.4343865,10.72353196,0.347586323
4,0.997638,357,-0.580462,-26.36130898,0.26543458,-14.0636016,3.306563775,0.331155974
5,0.997157,379,5.56847,-31.75087554,0.26800635,-10.79158967,-2.536342778,0.320631037
6,0.996676,389,-1.18221,-23.19345661,0.233085901,-9.418821143,-5.48735904,0.308124589
7,0.996195,380,-8.102598,-22.8673963,0.241077484,-9.25429325,-7.659863699,0.299743701
8,0.995852,256,-49.181838,32.7917585,0.500498856,-13.69068711,-3.16523901,0.322049829
9,0.995371,361,-49.310313,33.57750727,0.49500789,-17.2526497,0.509035618,0.339345635
10,0.994974,288,-47.532794,46.85537736,0.500654528,-20.00539009,4.722339413,0.35401008
11,0.994612,283,-47.30128,88.79294449,0.504088727,-22.28004758,11.72822317,0.366516634
12,0.994131,361,-8.08049,-21.70705053,0.226211036,-21.18777392,9.156279038,0.355723896
13,0.99376,300,-50.073968,17.75773733,0.50073964,-23.2510735,9.770668916,0.366082163
14,0.993279,402,-23.786352,-34.74041723,0.349719912,-23.28675873,6.803263173,0.364991346
15,0.992798,379,-35.105663,22.52827484,0.37781594,-24.02544025,7.786076402,0.365792883
16,0.992317,399,-24.471473,-23.96506062,0.299380575,-24.05167747,5.91836246,0.361886277
17,0.991836,376,-46.358104,62.0387963,0.489561866,-25.29092339,9.036164339,0.368979365
18,0.991355,376,-16.178949,-22.51607829,0.241538042,-24.81134579,7.37551999,0.362271927
19,0.990874,381,-43.983798,40.30821918,0.481683882,-25.7699684,9.02215495,0.368242525
20,0.990632,193,-48.121719,17.2766824,0.506659812,-26.83433748,9.415227685,0.374833824
21,0.990153,363,-50.024229,23.10155409,0.50024235,-27.88842345,10.03733343,0.380534212
22,0.989672,381,-14.873087,-20.52859176,0.242451298,-27.32253926,8.708380162,0.374530607
23,0.989271,304,-45.119177,83.65127742,0.500501475,-28.06406583,11.83100088,0.379779393
24,0.98879,396,-40.32337,26.39741314,0.470615703,-28.554438,12.41365737,0.383412846
25,0.988309,385,-2.196589,-30.59000175,0.258201072,-27.54067458,10.75967048,0.378597008
26,0.987952,283,-49.915341,77.88815259,0.50203597,-28.36936593,13.24591056,0.383168821
27,0.987471,374,-33.25029,1.257861635,0.388651832,-28.54368464,12.81776596,0.383364643
28,0.98699,381,-39.669223,10.19610257,0.46667611,-28.9273239,12.72736377,0.386237452
29,0.986509,373,-36.675465,12.02067698,0.41341692,-29.18559527,12.70380754,0.387143435
30,0.986028,390,-45.345475,33.56210956,0.45367089,-29.70688171,13.376656,0.389289482
31,0.985547,381,-13.024957,-32.6884897,0.278687583,-29.18557156,11.93712019,0.385833172
32,0.985066,390,-6.972028,-29.46857987,0.283935717,-28.51243388,10.68240201,0.382745371
33,0.984585,386,-42.938871,24.53243213,0.470305549,-28.93674085,11.08975584,0.38532067
34,0.984104,372,-5.769938,-31.67480562,0.240880732,-28.2748322,9.867911223,0.381193815
35,0.983623,384,-4.856634,-23.60921986,0.262145058,-27.62432669,8.937990915,0.377886905
36,0.983142,370,-12.174068,-25.62130524,0.2702849,-27.20675214,8.003955884,0.374978742
37,0.982661,382,-36.422393,13.30034643,0.424863489,-27.449269,8.143334583,0.376291499
38,0.98218,380,-12.426725,-19.85804376,0.245063233,-27.06407556,7.425350523,0.372926672
39,0.98189,223,-50.34686,39.82927136,0.505145915,-27.64614517,8.235448544,0.376232153
40,0.981409,384,-42.864325,33.1334737,0.476069315,-28.01732029,8.84271745,0.378667205
41,0.980928,399,13.833276,-31.43955187,0.247548261,-27.02087752,7.8836158,0.375545326
42,0.980447,389,-13.247097,-26.01371834,0.274938049,-26.70055705,7.095305703,0.373205622
43,0.979966,389,-40.782065,56.41766888,0.497583143,-27.02059132,8.216268503,0.376032384
44,0.979485,382,-30.565612,-7.211169851,0.40139612,-27.09936956,7.873436539,0.376596022
45,0.97901,380,-47.767018,94.0815767,0.5084759,-27.54866626,9.747526543,0.379462976
46,0.978653,291,-50.458635,82.33803901,0.50458648,-28.0361124,11.29200553,0.382125178
47,0.978172,375,-27.448513,-4.868429825,0.34016188,-28.02387075,10.9553298,0.381250943
48,0.977792,299,-48.421606,40.6079255,0.502015562,-28.44015106,11.56048481,0.383715527
49,0.977311,383,-1.983826,-31.32596396,0.2888121,-27.91102456,10.70275583,0.381817458
50,0.97683,372,-8.250704,-29.16853885,0.267637661,-27.52552808,9.920965742,0.379578639
51,0.976349,375,-33.7048,6.090777506,0.46124092,-27.64436023,9.847308276,0.381149067
52,0.975868,369,-40.496602,31.35775862,0.470904246,-27.88685536,10.25316583,0.382842561
53,0.975387,379,-1.086945,-29.44125226,0.26723355,-27.39056072,9.518084013,0.380701654
54,0.975168,179,-50.381045,38.33470848,0.509878613,-27.80856953,10.04202264,0.383050326
55,0.974748,329,-46.652925,68.13318127,0.500397751,-28.14507588,11.07936476,0.385145815
56,0.974325,334,-49.99343,82.81563703,0.500161397,-28.52838033,12.33789585,0.387163633
57,0.973942,299,-50.23921,84.66849817,0.503357241,-28.90270498,13.5849752,0.389166971
58,0.973461,363,14.821837,-30.98642076,0.24257876,-28.16161105,12.82952781,0.386682425
59,0.973187,227,-51.146764,36.13756879,0.513611492,-28.54469693,13.21799516,0.388797909
60,0.972706,385,-5.679081,-22.97749173,0.281252973,-28.16985077,12.62462652,0.387034877
61,0.972225,359,-37.400857,14.37913481,0.467202271,-28.31873797,12.65292504,0.3883279
62,0.971892,278,-48.636795,62.0387963,0.508904873,-28.64124681,13.43682776,0.39024182
63,0.971506,295,-49.844839,55.1628512,0.50066551,-28.97255294,14.08879688,0.39196719
64,0.971025,384,-14.200233,-23.13793648,0.282215095,-28.74528648,13.5160779,0.390278696
65,0.970544,375,-2.616973,-30.78489705,0.277837713,-28.34940294,12.84485101,0.388575045
66,0.970063,365,-48.007393,33.57750727,0.48127071,-28.64280578,13.15429364,0.389958563
67,0.969582,390,4.581796,-33.28287198,0.294632007,-28.15420869,12.47139415,0.388556701
68,0.969101,360,-44.392467,16.71278171,0.48250747,-28.38954577,12.53286353,0.389918307
69,0.96862,377,4.62201,-31.43955187,0.276556218,-27.91795211,11.90468617,0.388298848
70,0.968333,215,-50.072463,36.68075205,0.50072463,-28.22998748,12.25364484,0.38988231
71,0.967884,357,-46.79521,55.8959521,0.511274137,-28.48783779,12.859788,0.391568308
72,0.967403,377,-42.70551,17.85470319,0.457566958,-28.68260042,12.9282115,0.392472399
73,0.966922,386,-40.228865,29.61234703,0.493865863,-28.83863103,13.15367279,0.393842581
74,0.966441,375,-6.942432,-21.10853498,0.236559142,-28.54668171,12.69684335,0.391745468
75,0.96596,370,-8.888548,-21.35231876,0.292998738,-28.28802205,12.24882806,0.390446169
76,0.965585,290,-45.514055,84.66802667,0.510586132,-28.51173677,13.18933713,0.392006428
77,0.965104,367,-8.150705,-18.16787649,0.223748668,-28.2506979,12.78732157,0.389849278
78,0.964754,274,-50.885615,80.64371847,0.5088561,-28.53721584,13.64626331,0.391355693
79,0.964273,386,3.243755,-34.58060245,0.254677373,-28.1399537,13.04342748,0.389647214
80,0.963902,280,-44.387577,33.12862764,0.503705744,-28.34054164,13.29139292,0.391055344
81,0.963421,377,-46.389013,88.33376913,0.470989323,-28.56064495,14.20654385,0.392030149
82,0.96294,359,4.941024,-31.77399364,0.26501331,-28.15701039,13.65256147,0.390499825
83,0.962459,388,4.959278,-31.61771755,0.238296067,-27.76276886,13.11362957,0.388687876
84,0.962085,292,-48.49094,78.00472016,0.500700007,-28.00662969,13.87705417,0.390005666
85,0.961604,365,-45.074692,39.49713827,0.492068667,-28.20509553,14.17496212,0.391192445
86,0.961123,371,-40.38688,38.65463796,0.449753398,-28.34511605,14.45633771,0.391865559
87,0.960642,368,-42.579439,29.47738542,0.495305946,-28.50686972,14.62703143,0.393041018
